"text","locale","scopes","audio_status","asset","families","sources"
"A charger, please.","en-US","current","ready","assets/audio/CURRICULUM/b76093c5df683d4492decdcb.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"A pencil, please.","en-US","current","ready","assets/audio/CURRICULUM/d057458233215180dd25485d.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"A. Ant.","en-US","current","ready","assets/audio/CURRICULUM/9e1b1fe05e76dfb1b1940e00.en.v1.mp3","core_en","lib/features/listening/presentation/lesson_practice_screen.dart"
"A. Apple.","en-US","current","ready","assets/audio/CURRICULUM/81cb3c50521defab3f8e62bf.en.v1.mp3","core_en","lib/features/listening/presentation/lesson_practice_screen.dart"
"After school.","en-US","current","ready","assets/audio/CURRICULUM/cec1d9211b81670b3a2e5a03.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"An toàn hơn: Lighter hay Safer?","vi-VN","current","ready","assets/audio/CURRICULUM/051ac9fb57fce33f45db835c.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"An toàn hơn.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/6a2a64e1e854db85a557a63e.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ảnh cá nhân.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/3e3ccf10c9fe2aa8fd98ca3c.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ảnh X-quang: X-ray hay Yo-yo?","vi-VN","current","ready","assets/audio/CURRICULUM/7c656525b755a2fc6864e77c.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ảnh X-quang: X-ray hay Yogurt?","vi-VN","current","ready","assets/audio/CURRICULUM/7eb42048a6faf8c4b8c1db5a.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ảnh X-quang.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/44766d6de5a0309158243436.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ảnh: Stranger hay Photo?","vi-VN","current","ready","assets/audio/CURRICULUM/caa0f3befd07f15dd4cec5dd.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ảnh.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/e92ee5d52dd488ebcd25b76f.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Anh/em trai của mình: My brother hay My sister?","vi-VN","current","ready","assets/audio/CURRICULUM/6ae591e9c30430184802b725.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Anh/em trai của mình.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/e00e4f9b3667faae049d5d79.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Anh/em trai: Brother hay Sister?","vi-VN","current","ready","assets/audio/CURRICULUM/d11a1a4cb156035e968b9305.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Anh/em trai.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/638b6d15f9d7a2ed50ba3754.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ant.","en-US","current","ready","assets/audio/CURRICULUM/1374775bc1a24c401c642e40.en.v1.mp3","challenge_answer_en","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Anything else?","en-US","current","ready","assets/audio/CURRICULUM/7e637162ced67c391f686c01.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Anything to drink?","en-US","current","ready","assets/audio/CURRICULUM/6185ea5a6726b658c163f6d5.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Áo khoác: Jacket hay Key?","vi-VN","current","ready","assets/audio/CURRICULUM/d858164aba8a8607fcd28c04.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
