number,id,language,text,usage,file,voiceId,speed,sha256
"1","VOCAB50-001","vi","Bạn muốn học phần Ba mẹ đã thêm, Ngôi sao hay Luyện lại?","current","audio/VOCAB50-001.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","9ca5c4239af74848e0c8b972f2efe2eeddc8dc1bc8359b5bff581b414775edf1"
"2","VOCAB50-002","vi","Bạn muốn học nội dung khác hay học tiếp?","current","audio/VOCAB50-002.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","087f87c2c208926ee0965559225265dd6a3d14fa29631d66ca158f5fd3568b94"
"3","VOCAB50-003","vi","Mình nghe tiếp nhé.","current","audio/VOCAB50-003.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","82a0d9f5c47090e1b6a6a91e264f7ec19ec2da560fe040778c7c714ee7ce09c4"
"4","VOCAB50-004","vi","Mình tạm dừng nhé.","current","audio/VOCAB50-004.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","b2687956af761d5181009b147def029fb4f89bbe4e8d39511b5323bb085156f2"
"5","VOCAB50-005","vi","Đây là câu đầu tiên. Mình nghe lại nhé.","current","audio/VOCAB50-005.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","e114f3f817f74f73ca3b5eb40c6fa466c044daae20ab21c53f1f400fe5404e3c"
"6","VOCAB50-006","vi","Mình học xong lượt này trước nhé.","current-but-deprecated-in-spec","audio/VOCAB50-006.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","44d164e72086f4a93e2f24ae64a8f3666ca870c5d98e150ff58563d004ff61d7"
"7","VOCAB50-007","vi","Đã có nội dung mới cho bạn. Bắt đầu học thôi!","current","audio/VOCAB50-007.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","3c0888890aad534976c0c17796c5ba5017dcddb8b5fe03b3969d02f1e3f359e9"
"8","VOCAB50-008","vi","Mình học tiếp Danh sách hôm nay nhé.","current","audio/VOCAB50-008.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","a546e9bf6865913461d328fc5cd751e264b4ab34557a48edefd4158a74855770"
"9","VOCAB50-009","vi","Bạn muốn học nội dung khác hay học lại?","current","audio/VOCAB50-009.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","1faee4105e0376d006a97da78943c70604fa4e119a39f929fc32d5978ce2eb3f"
"10","VOCAB50-010","vi","Mình cùng nghe nhé.","current","audio/VOCAB50-010.vi.mp3","5CVDNcIPiOYgRUQuxXd7","0.9","745b604df78edb1b325e0abde35e5cf958a818efe84805d6b1f596c5428cfdeb"
